City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2022-04-19 18:16:33,-46.1927,168.8643,50.49,89,100,3.11
68,Port Lincoln,AU,2022-04-19 18:16:33,-34.7333,135.8667,61.74,87,47,10.07
69,Tuktoyaktuk,CA,2022-04-19 18:16:34,69.4541,-133.0374,12.2,73,0,3.44
70,Razole,IN,2022-04-19 18:16:34,16.4833,81.8333,80.82,88,12,5.21
71,Acari,PE,2022-04-19 18:16:34,-15.4311,-74.6158,79.86,54,30,9.37
72,Aksarka,RU,2022-04-19 18:16:35,66.5606,67.7975,30.45,90,100,13.87
73,Sibolga,ID,2022-04-19 18:16:35,1.7427,98.7792,76.71,92,100,3.27
74,Labuhan,ID,2022-04-19 18:16:36,-6.8844,112.2051,75.18,97,100,6.53
75,Rio Grande,BR,2022-04-19 18:13:26,-32.035,-52.0986,80.71,65,1,8.97
76,Port Blair,IN,2022-04-19 18:16:36,11.6667,92.75,84.24,74,75,2.3
77,Coahuayana,MX,2022-04-19 18:16:37,18.7333,-103.6833,89.56,48,1,7.43
78,Xai-Xai,MZ,2022-04-19 18:16:37,-25.0519,33.6442,70.54,88,94,17.43
79,Robstown,US,2022-04-19 18:16:37,27.7903,-97.6689,78.58,83,100,23.02
80,Zhigansk,RU,2022-04-19 18:16:38,66.7697,123.3711,16.83,95,99,9.28
81,Airai,TL,2022-04-19 18:16:38,-8.9266,125.4092,58.82,79,49,2.42
82,Ocos,GT,2022-04-19 18:16:38,14.5094,-92.1933,93.38,62,26,9.98
83,Ilulissat,GL,2022-04-19 18:16:39,69.2167,-51.1,8.62,61,75,13.8
84,Bom Jardim,BR,2022-04-19 18:16:39,-7.7958,-35.5872,86.56,50,98,13.31
85,Ballina,AU,2022-04-19 18:16:40,-28.8667,153.5667,66.38,98,1,9.06
86,Aleksandrovskoye,RU,2022-04-19 18:16:40,44.7142,43.0008,61.65,62,61,3.51
87,Cidreira,BR,2022-04-19 18:16:17,-30.1811,-50.2056,71.8,68,1,9.98
88,Vodnyy,RU,2022-04-19 18:16:41,63.5046,53.4095,34.05,98,99,7.23
89,Sitka,US,2022-04-19 18:16:41,57.0531,-135.33,46.29,49,40,6.91
90,Cairns,AU,2022-04-19 18:16:41,-16.9167,145.7667,76.95,83,40,11.5
91,Ancud,CL,2022-04-19 18:16:42,-41.8697,-73.8203,51.22,80,93,5.61
92,Cayenne,GF,2022-04-19 18:16:42,4.9333,-52.3333,76.08,1,75,3.44
93,Provideniya,RU,2022-04-19 18:16:42,64.3833,-173.3,27.64,84,100,11.27
94,Castro,BR,2022-04-19 18:16:43,-24.7911,-50.0119,73.04,50,1,6.29
95,Kaitangata,NZ,2022-04-19 18:16:43,-46.2817,169.8464,49.95,83,100,3.62
96,Progreso,MX,2022-04-19 18:16:43,21.2833,-89.6667,94.1,58,5,16.96
97,Mizan Teferi,ET,2022-04-19 18:16:44,6.9833,35.5833,63.01,96,81,1.63
98,Hindoria,IN,2022-04-19 18:16:44,23.9,79.5667,91.71,15,16,6.85
99,Clyde River,CA,2022-04-19 18:16:45,70.4692,-68.5914,-7.37,71,75,9.22
100,Klaksvik,FO,2022-04-19 18:14:28,62.2266,-6.589,47.32,80,19,15.97
101,Antofagasta,CL,2022-04-19 18:12:14,-23.65,-70.4,65.48,66,81,7.87
102,Bethel,US,2022-04-19 18:16:45,41.3712,-73.414,47.19,63,100,13.8
103,Bossangoa,CF,2022-04-19 18:16:46,6.4926,17.4552,79.95,57,100,2.24
104,Tiarei,PF,2022-04-19 18:16:46,-17.5333,-149.3333,82.42,73,11,3.91
105,Nikolskoye,RU,2022-04-19 18:11:48,59.7035,30.7861,46.29,93,33,5.46
106,Butaritari,KI,2022-04-19 18:16:47,3.0707,172.7902,81.55,74,25,16.13
107,Broome,US,2022-04-19 18:16:47,42.2506,-75.833,40.69,71,100,13.8
108,Wellington,NZ,2022-04-19 18:12:39,-41.2866,174.7756,63.55,90,40,5.75
109,Kedougou,SN,2022-04-19 18:16:48,12.5579,-12.1743,104.85,10,63,5.82
110,Egvekinot,RU,2022-04-19 18:16:48,66.3167,-179.1667,21.87,89,100,6.49
